geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1138,-23.52,-46.66,sao paulo,SP
1128,-23.52,-46.64,sao paulo,SP
1109,-23.53,-46.63,sao paulo,SP
1132,-23.52,-46.65,sao paulo,SP
1108,-23.52,-46.63,sao paulo,SP
1107,-23.52,-46.63,sao paulo,SP
1154,-23.53,-46.66,sao paulo,SP
1152,-23.53,-46.65,sao paulo,SP
1134,-23.52,-46.65,são paulo,SP
1144,-23.52,-46.67,sao paulo,SP
1129,-23.53,-46.64,sao paulo,SP
1105,-23.53,-46.63,sao paulo,SP
1126,-23.53,-46.64,sao paulo,SP
1142,-23.52,-46.63,sao paulo,SP
1133,-23.52,-46.65,sao paulo,SP
1101,-23.53,-46.63,sao paulo,SP
1189,-23.53,-46.64,sao paulo,SP
1202,-23.53,-46.65,são paulo,SP
1230,-23.53,-46.65,sao paulo,SP
1221,-23.55,-46.65,sao paulo,SP
1217,-23.53,-46.65,sao paulo,SP
1243,-23.55,-46.66,sao paulo,SP
1203,-23.54,-46.64,sao paulo,SP
1214,-23.54,-46.64,sao paulo,SP
1257,-23.55,-46.68,sao paulo,SP
1231,-23.54,-46.66,sao paulo,SP
1216,-23.54,-46.65,sao paulo,SP
1226,-23.53,-46.66,são paulo,SP
1220,-23.54,-46.65,sao paulo,SP
1223,-23.54,-46.65,sao paulo,SP
1213,-23.54,-46.64,sao paulo,SP
1227,-23.54,-46.65,sao paulo,SP
1240,-23.54,-46.66,sao paulo,SP
1258,-23.54,-46.69,sao paulo,SP
1222,-23.55,-46.65,são paulo,SP
1211,-23.54,-46.65,sao paulo,SP
1244,-23.54,-46.66,sao paulo,SP
1238,-23.54,-46.66,sao paulo,SP
1204,-23.54,-46.64,sao paulo,SP
1234,-23.54,-46.66,sao paulo,SP
1228,-23.55,-46.66,sao paulo,SP
1224,-23.54,-46.65,sao paulo,SP
1229,-23.54,-46.66,sao paulo,SP
1232,-23.54,-46.66,sao paulo,SP
1218,-23.53,-46.65,são paulo,SP
1215,-23.54,-46.65,são paulo,SP
1239,-23.55,-46.66,sao paulo,SP
1205,-23.53,-46.65,são paulo,SP
1201,-23.53,-46.65,sao paulo,SP
1259,-23.54,-46.68,sao paulo,SP
1210,-23.54,-46.64,são paulo,SP
1249,-23.55,-46.67,sao paulo,SP
1212,-23.54,-46.64,são paulo,SP
1248,-23.55,-46.67,sao paulo,SP
1233,-23.54,-46.66,sao paulo,SP
1219,-23.54,-46.65,sao paulo,SP
1235,-23.54,-46.66,sao paulo,SP
1209,-23.54,-46.64,sao paulo,SP
1236,-23.54,-46.67,sao paulo,SP
1206,-23.54,-46.64,sao paulo,SP
1207,-23.54,-46.64,sao paulo,SP
1251,-23.55,-46.67,são paulo,SP
1242,-23.55,-46.66,sao paulo,SP
1241,-23.55,-46.66,são paulo,SP
1208,-23.54,-46.64,sao paulo,SP
1254,-23.54,-46.68,são paulo,SP
1255,-23.55,-46.68,sao paulo,SP
1245,-23.55,-46.66,são paulo,SP
1225,-23.54,-46.65,sao paulo,SP
1252,-23.54,-46.68,sao paulo,SP
1237,-23.54,-46.67,sao paulo,SP
1200,-23.53,-46.65,sao paulo,SP
1250,-23.55,-46.67,sao paulo,SP
1247,-23.55,-46.67,são paulo,SP
1246,-23.55,-46.67,sao paulo,SP
1262,-23.55,-46.68,sao paulo,SP
1253,-23.54,-46.68,sao paulo,SP
1290,-23.54,-46.66,são paulo,SP
1256,-23.55,-46.68,são paulo,SP
1303,-23.55,-46.65,sao paulo,SP
1309,-23.56,-46.66,são paulo,SP
1310,-23.56,-46.66,sao paulo,SP
1323,-23.56,-46.64,sao paulo,SP
1321,-23.56,-46.64,sao paulo,SP
1333,-23.56,-46.65,sao paulo,SP
1314,-23.55,-46.64,sao paulo,SP
1331,-23.56,-46.65,sao paulo,SP
1307,-23.55,-46.65,sao paulo,SP
1318,-23.57,-46.65,sao paulo,SP
1322,-23.56,-46.64,sao paulo,SP
1308,-23.56,-46.65,sao paulo,SP
1306,-23.55,-46.65,sao paulo,SP
1301,-23.55,-46.66,sao paulo,SP
1302,-23.55,-46.64,sao paulo,SP
1312,-23.55,-46.65,sao paulo,SP
1319,-23.55,-46.64,são paulo,SP
1316,-23.55,-46.64,sao paulo,SP
1317,-23.56,-46.65,sao paulo,SP
1313,-23.56,-46.65,sao paulo,SP
1324,-23.55,-46.64,sao paulo,SP
1327,-23.57,-46.65,sao paulo,SP
1304,-23.55,-46.65,sao paulo,SP
1332,-23.56,-46.65,sao paulo,SP
1326,-23.56,-46.65,sao paulo,SP
1315,-23.55,-46.64,sao paulo,SP
1325,-23.56,-46.64,sao paulo,SP
1329,-23.56,-46.65,sao paulo,SP
1330,-23.56,-46.65,sao paulo,SP
1311,-23.56,-46.66,sao paulo,SP
1305,-23.56,-46.66,sao paulo,SP
1320,-23.56,-46.64,sao paulo,SP
1328,-23.56,-46.65,sao paulo,SP
1402,-23.58,-46.67,sao paulo,SP
1421,-23.56,-46.66,são paulo,SP
1403,-23.57,-46.65,são paulo,SP
1409,-23.56,-46.66,sao paulo,SP
1411,-23.57,-46.66,sao paulo,SP
1452,-23.57,-46.69,sao paulo,SP
1423,-23.57,-46.66,sao paulo,SP
1417,-23.49,-46.71,sao paulo,SP
1408,-23.57,-46.66,sao paulo,SP
1455,-23.58,-46.69,sao paulo,SP
1401,-23.57,-46.65,sao paulo,SP
1410,-23.56,-46.66,sao paulo,SP
1453,-23.58,-46.69,sao paulo,SP
1415,-23.55,-46.65,sao paulo,SP
1416,-23.56,-46.67,sao paulo,SP
1445,-23.57,-46.69,sao paulo,SP
1424,-23.57,-46.66,sao paulo,SP
1422,-23.56,-46.67,sao paulo,SP
1419,-23.56,-46.66,sao paulo,SP
1414,-23.56,-46.67,são paulo,SP
1420,-23.57,-46.65,sao paulo,SP
1451,-23.58,-46.69,sao paulo,SP
1446,-23.58,-46.68,sao paulo,SP
1406,-23.57,-46.66,são paulo,SP
1454,-23.58,-46.69,sao paulo,SP
1426,-23.56,-46.67,sao paulo,SP
1413,-23.56,-46.66,são paulo,SP
1433,-23.58,-46.67,são paulo,SP
1427,-23.57,-46.66,são paulo,SP
1405,-23.57,-46.66,sao paulo,SP
1435,-23.58,-46.67,sao paulo,SP
1449,-23.58,-46.68,sao paulo,SP
1425,-23.57,-46.66,sao paulo,SP
1430,-23.88,-46.64,sao paulo,SP
1404,-23.57,-46.66,sao paulo,SP
1442,-23.56,-46.68,sao paulo,SP
1407,-23.58,-46.68,sao paulo,SP
1418,-23.56,-46.66,sao paulo,SP
1472,-23.57,-46.69,sao paulo,SP
1443,-23.57,-46.68,sao paulo,SP
1428,-23.58,-46.66,sao paulo,SP
1434,-23.58,-46.67,sao paulo,SP
1457,-23.58,-46.69,sao paulo,SP
1412,-23.56,-46.67,são paulo,SP
1448,-23.58,-46.68,sao paulo,SP
1456,-23.58,-46.69,sao paulo,SP
1432,-23.57,-46.66,sao paulo,SP
1441,-23.58,-46.69,são paulo,SP
1489,-23.58,-46.69,sao paulo,SP
1429,-23.58,-46.66,são paulo,SP
1450,-23.57,-46.69,sao paulo,SP
1440,-23.56,-46.67,sao paulo,SP
1438,-23.57,-46.67,sao paulo,SP
1444,-23.61,-46.75,sao paulo,SP
1436,-23.57,-46.67,sao paulo,SP
1447,-23.57,-46.68,sao paulo,SP
1439,-23.57,-46.67,sao paulo,SP
1431,-23.58,-46.66,sao paulo,SP
1437,-23.57,-46.67,sao paulo,SP
1526,-23.57,-46.63,sao paulo,SP
1509,-23.57,-46.64,sao paulo,SP
1504,-23.56,-46.64,sao paulo,SP
1536,-23.56,-46.62,sao paulo,SP
1535,-23.57,-46.62,sao paulo,SP
1511,-23.56,-46.63,sao paulo,SP
1534,-23.56,-46.62,sao paulo,SP
1514,-23.55,-46.63,sao paulo,SP
1529,-23.57,-46.64,sao paulo,SP
1539,-23.57,-46.62,sao paulo,SP
1532,-23.57,-46.64,sao paulo,SP
1542,-23.57,-46.62,sao paulo,SP
1548,-23.58,-46.61,sao paulo,SP
1543,-23.58,-46.62,sao paulo,SP
1544,-23.58,-46.62,sao paulo,SP
1546,-23.58,-46.62,são paulo,SP
1523,-23.56,-46.62,sao paulo,SP
1506,-23.56,-46.63,são paulo,SP
1518,-23.56,-46.62,sao paulo,SP
1510,-23.56,-46.63,sao paulo,SP
1537,-23.57,-46.62,sao paulo,SP
1531,-23.57,-46.63,sao paulo,SP
1549,-23.58,-46.62,sao paulo,SP
1533,-23.57,-46.64,sao paulo,SP
1525,-23.57,-46.64,sao paulo,SP
1520,-23.56,-46.62,sao paulo,SP
1550,-23.57,-46.62,sao paulo,SP
1503,-23.56,-46.64,são paulo,SP
1541,-23.57,-46.62,sao paulo,SP
1545,-23.58,-46.62,sao paulo,SP
1522,-23.56,-46.62,sao paulo,SP
1508,-23.56,-46.63,sao paulo,SP
1519,-23.56,-46.62,sao paulo,SP
1547,-23.58,-46.62,sao paulo,SP
1538,-23.57,-46.62,são paulo,SP
1501,-23.55,-46.64,são paulo,SP
1521,-23.56,-46.62,sao paulo,SP
1530,-23.59,-46.73,sao paulo,SP
1505,-23.56,-46.63,são paulo,SP
1502,-23.55,-46.64,sao paulo,SP
1551,-23.58,-46.61,sao paulo,SP
1540,-23.56,-46.62,sao paulo,SP
1528,-23.56,-46.63,sao paulo,SP
1513,-23.56,-46.63,sao paulo,SP
1527,-23.56,-46.63,sao paulo,SP
1524,-23.57,-46.62,sao paulo,SP
1507,-23.56,-46.63,são paulo,SP
1512,-23.55,-46.63,sao paulo,SP
1552,-23.57,-46.61,sao paulo,SP
1553,-23.57,-46.61,sao paulo,SP
1516,-23.56,-46.61,sao paulo,SP
1517,-23.56,-46.62,sao paulo,SP
2019,-23.5,-46.63,sao paulo,SP
2069,-23.51,-46.61,sao paulo,SP
2067,-23.51,-46.61,sao paulo,SP
2020,-23.5,-46.63,sao paulo,SP
2075,-23.5,-46.6,sao paulo,SP
2012,-23.51,-46.63,sao paulo,SP
2076,-23.51,-46.6,sao paulo,SP
2035,-23.5,-46.62,são paulo,SP
2034,-23.5,-46.62,sao paulo,SP
2022,-23.51,-46.64,são paulo,SP
2021,-23.5,-46.63,sao paulo,SP
2080,-23.5,-46.61,sao paulo,SP
2066,-23.51,-46.6,sao paulo,SP
2085,-23.5,-46.61,sao paulo,SP
2030,-23.5,-46.62,sao paulo,SP
2064,-23.52,-46.6,sao paulo,SP
2029,-23.51,-46.62,sao paulo,SP
2060,-23.52,-46.6,sao paulo,SP
2054,-23.52,-46.61,sao paulo,SP
2072,-23.5,-46.6,sao paulo,SP
2017,-23.5,-46.64,são paulo,SP
2018,-23.49,-46.63,sao paulo,SP
2043,-23.49,-46.62,sao paulo,SP
2074,-23.51,-46.59,sao paulo,SP
2038,-23.5,-46.62,sao paulo,SP
2016,-23.5,-46.63,sao paulo,SP
2040,-23.49,-46.62,sao paulo,SP
2056,-23.51,-46.6,são paulo,SP
2051,-23.51,-46.61,sao paulo,SP
2041,-23.49,-46.62,sao paulo,SP
2039,-23.49,-46.62,sao paulo,SP
2073,-23.5,-46.61,sao paulo,SP
2082,-23.49,-46.61,sao paulo,SP
2033,-23.5,-46.62,sao paulo,SP
2013,-23.5,-46.63,sao paulo,SP
2079,-23.5,-46.6,sao paulo,SP
2037,-23.5,-46.62,sao paulo,SP
2083,-23.5,-46.6,sao paulo,SP
2068,-23.5,-46.61,sao paulo,SP
2071,-23.5,-46.61,sao paulo,SP
2047,-23.52,-46.61,sao paulo,SP
2078,-23.5,-46.59,sao paulo,SP
2044,-23.5,-46.62,sao paulo,SP
2084,-23.5,-46.6,sao paulo,SP
2055,-23.51,-46.61,sao paulo,SP
2042,-23.49,-46.62,sao paulo,SP
2045,-23.49,-46.62,sao paulo,SP
2036,-23.5,-46.62,sao paulo,SP
2046,-23.49,-46.61,sao paulo,SP
2010,-23.51,-46.63,são paulo,SP
2081,-23.5,-46.61,sao paulo,SP
2050,-23.52,-46.61,são paulo,SP
2052,-23.51,-46.61,sao paulo,SP
2031,-23.52,-46.63,sao paulo,SP
2028,-23.51,-46.62,sao paulo,SP
2065,-23.5,-46.6,sao paulo,SP
2077,-23.5,-46.6,sao paulo,SP
2011,-23.5,-46.63,sao paulo,SP
2049,-23.51,-46.62,são paulo,SP
2032,-23.51,-46.62,sao paulo,SP
2053,-23.51,-46.6,sao paulo,SP
2009,-23.52,-46.64,sao paulo,SP
2089,-23.52,-46.62,sao paulo,SP
2088,-23.5,-46.62,sao paulo,SP
2150,-23.5,-46.57,sao paulo,SP
2133,-23.5,-46.59,sao paulo,SP
2167,-23.52,-46.58,sao paulo,SP
2130,-23.51,-46.58,são paulo,SP
2188,-23.51,-46.57,sao paulo,SP
2152,-23.5,-46.57,são paulo,SP
2138,-23.5,-46.58,sao paulo,SP
2134,-23.5,-46.58,sao paulo,SP
2176,-23.51,-46.57,sao paulo,SP
2117,-23.52,-46.59,sao paulo,SP
2119,-23.51,-46.59,sao paulo,SP
2131,-23.5,-46.58,sao paulo,SP
2124,-23.51,-46.58,sao paulo,SP
2129,-23.51,-46.59,sao paulo,SP
2132,-23.5,-46.58,sao paulo,SP
2110,-23.52,-46.59,sao paulo,SP
2135,-23.5,-46.57,sao paulo,SP
2127,-23.5,-46.58,sao paulo,SP
2114,-23.52,-46.59,sao paulo,SP
2178,-23.52,-46.57,são paulo,SP
2177,-23.51,-46.57,sao paulo,SP
2120,-23.51,-46.59,são paulo,SP
2161,-23.49,-46.57,são paulo,SP
2112,-23.51,-46.59,são paulo,SP
2126,-23.51,-46.59,sao paulo,SP
2169,-23.52,-46.58,sao paulo,SP
2123,-23.51,-46.58,sao paulo,SP
2189,-23.51,-46.57,são paulo,SP
2128,-23.5,-46.59,sao paulo,SP
2179,-23.52,-46.57,sao paulo,SP
2136,-23.5,-46.58,são paulo,SP
2174,-23.52,-46.57,sao paulo,SP
2186,-23.51,-46.57,sao paulo,SP
2137,-23.5,-46.57,sao paulo,SP
2185,-23.51,-46.57,sao paulo,SP
2181,-23.52,-46.56,são paulo,SP
2180,-23.52,-46.57,sao paulo,SP
2111,-23.52,-46.59,sao paulo,SP
2187,-23.52,-46.56,sao paulo,SP
2121,-23.51,-46.59,sao paulo,SP
2190,-23.51,-46.56,sao paulo,SP
2139,-23.49,-46.57,são paulo,SP
2143,-23.51,-46.58,sao paulo,SP
2122,-23.51,-46.58,sao paulo,SP
2115,-23.53,-46.59,sao paulo,SP
2118,-23.52,-46.59,sao paulo,SP
2125,-23.51,-46.59,sao paulo,SP
2113,-23.52,-46.59,sao paulo,SP
2147,-23.5,-46.57,são paulo,SP
2141,-23.49,-46.58,são paulo,SP
2170,-23.53,-46.58,são paulo,SP
2166,-23.53,-46.58,sao paulo,SP
2175,-23.52,-46.57,sao paulo,SP
2168,-23.52,-46.58,são paulo,SP
2116,-23.52,-46.59,sao paulo,SP
2145,-23.5,-46.57,sao paulo,SP
2151,-23.49,-46.57,sao paulo,SP
2146,-23.5,-46.57,sao paulo,SP
2144,-23.51,-46.57,sao paulo,SP
2162,-23.49,-46.56,são paulo,SP
2142,-23.51,-46.58,sao paulo,SP
2251,-23.48,-46.6,sao paulo,SP
2256,-23.48,-46.59,são paulo,SP
2246,-23.49,-46.6,sao paulo,SP
2223,-23.48,-46.58,sao paulo,SP
2225,-23.48,-46.58,sao paulo,SP
2204,-23.48,-46.59,sao paulo,SP
2235,-23.48,-46.58,sao paulo,SP
2245,-23.48,-46.61,sao paulo,SP
2243,-23.49,-46.6,sao paulo,SP
2208,-23.48,-46.59,sao paulo,SP
2222,-23.48,-46.58,sao paulo,SP
2232,-23.48,-46.56,sao paulo,SP
2203,-23.49,-46.59,sao paulo,SP
2250,-23.49,-46.59,sao paulo,SP
2263,-23.46,-46.58,são paulo,SP
2238,-23.47,-46.56,sao paulo,SP
2261,-23.47,-46.58,sao paulo,SP
2267,-23.48,-46.6,sao paulo,SP
2270,-23.47,-46.59,sao paulo,SP
2227,-23.48,-46.57,sao paulo,SP
2273,-23.46,-46.59,sao paulo,SP
2244,-23.49,-46.61,sao paulo,SP
2229,-23.48,-46.57,sao paulo,SP
2215,-23.49,-46.59,sao paulo,SP
2259,-23.47,-46.58,são paulo,SP
2228,-23.48,-46.57,sao paulo,SP
2254,-23.49,-46.6,sao paulo,SP
2218,-23.49,-46.58,sao paulo,SP
2247,-23.48,-46.6,sao paulo,SP
2226,-23.48,-46.57,sao paulo,SP
2274,-23.47,-46.59,sao paulo,SP
2220,-23.49,-46.58,sao paulo,SP
2217,-23.49,-46.58,são paulo,SP
2265,-23.48,-46.6,são paulo,SP
2276,-23.46,-46.58,sao paulo,SP
2242,-23.49,-46.61,sao paulo,SP
2269,-23.47,-46.6,são paulo,SP
2221,-23.48,-46.58,sao paulo,SP
2279,-23.46,-46.58,sao paulo,SP
2249,-23.49,-46.6,sao paulo,SP
2237,-23.47,-46.57,sao paulo,SP
2206,-23.49,-46.59,são paulo,SP
2258,-23.48,-46.58,sao paulo,SP
2236,-23.47,-46.57,sao paulo,SP
2205,-23.49,-46.59,sao paulo,SP
2241,-23.49,-46.61,sao paulo,SP
2219,-23.49,-46.58,sao paulo,SP
2257,-23.47,-46.59,sao paulo,SP
2230,-23.48,-46.56,sao paulo,SP
2210,-23.49,-46.58,sao paulo,SP
2266,-23.47,-46.59,são paulo,SP
2211,-23.5,-46.6,sao paulo,SP
2280,-23.45,-46.57,sao paulo,SP
2278,-23.46,-46.58,sao paulo,SP
2264,-23.46,-46.58,são paulo,SP
2201,-23.49,-46.59,são paulo,SP
2253,-23.48,-46.6,sao paulo,SP
2281,-23.45,-46.57,sao paulo,SP
2248,-23.48,-46.6,sao paulo,SP
2255,-23.48,-46.59,sao paulo,SP
2277,-23.46,-46.58,sao paulo,SP
2272,-23.47,-46.59,sao paulo,SP
2271,-23.47,-46.59,sao paulo,SP
2282,-23.45,-46.57,sao paulo,SP
2224,-23.48,-46.57,sao paulo,SP
2275,-23.47,-46.59,sao paulo,SP
2233,-23.48,-46.56,sao paulo,SP
2209,-23.49,-46.58,sao paulo,SP
2212,-23.49,-46.59,sao paulo,SP
2288,-23.43,-46.57,sao paulo,SP
2260,-23.47,-46.58,sao paulo,SP
2234,-23.48,-46.57,são paulo,SP
2213,-23.49,-46.58,sao paulo,SP
2202,-23.49,-46.59,sao paulo,SP
2262,-23.47,-46.58,sao paulo,SP
2216,-23.49,-46.58,sao paulo,SP
2214,-23.49,-46.59,são paulo,SP
2268,-23.47,-46.59,sao paulo,SP
2207,-23.49,-46.59,sao paulo,SP
2239,-23.48,-46.61,sao paulo,SP
2252,-23.48,-46.59,sao paulo,SP
2240,-23.48,-46.6,sao paulo,SP
2231,-23.48,-46.56,são paulo,SP
2290,-23.54,-46.63,sao paulo,SP
2284,-23.47,-46.57,sao paulo,SP
2289,-23.42,-46.58,sao paulo,SP
2286,-23.41,-46.58,sao paulo,SP
2309,-23.48,-46.6,sao paulo,SP
2377,-23.46,-46.63,sao paulo,SP
2371,-23.46,-46.62,sao paulo,SP
2323,-23.5,-46.57,sao paulo,SP
2311,-23.47,-46.6,sao paulo,SP
2374,-23.46,-46.62,sao paulo,SP
2316,-23.46,-46.59,sao paulo,SP
2366,-23.43,-46.59,sao paulo,SP
2321,-23.45,-46.59,sao paulo,SP
2315,-23.46,-46.6,sao paulo,SP
2330,-23.49,-46.62,são paulo,SP
2319,-23.45,-46.59,são paulo,SP
2312,-23.46,-46.6,são paulo,SP
2341,-23.46,-46.61,são paulo,SP
2334,-23.48,-46.62,são paulo,SP
2347,-23.46,-46.61,sao paulo,SP
2365,-23.42,-46.58,sao paulo,SP
2375,-23.45,-46.63,sao paulo,SP
2372,-23.46,-46.62,são paulo,SP
2367,-23.42,-46.59,sao paulo,SP
2343,-23.47,-46.61,sao paulo,SP
2306,-23.45,-46.6,sao paulo,SP
2313,-23.47,-46.6,sao paulo,SP
2305,-23.48,-46.61,sao paulo,SP
2340,-23.47,-46.62,sao paulo,SP
2360,-23.44,-46.58,sao paulo,SP
2344,-23.47,-46.61,sao paulo,SP
2348,-23.46,-46.61,sao paulo,SP
2322,-23.45,-46.6,sao paulo,SP
2356,-23.45,-46.61,sao paulo,SP
2352,-23.45,-46.59,sao paulo,SP
2358,-23.45,-46.61,sao paulo,SP
2308,-23.48,-46.6,sao paulo,SP
2318,-23.45,-46.59,sao paulo,SP
2337,-23.48,-46.61,são paulo,SP
2342,-23.47,-46.61,sao paulo,SP
2355,-23.45,-46.61,são paulo,SP
2303,-23.48,-46.61,sao paulo,SP
2363,-23.43,-46.58,sao paulo,SP
2324,-23.45,-46.58,sao paulo,SP
2373,-23.46,-46.62,sao paulo,SP
2302,-23.49,-46.62,sao paulo,SP
2350,-23.46,-46.61,sao paulo,SP
2378,-23.45,-46.63,são paulo,SP
2317,-23.46,-46.6,sao paulo,SP
2351,-23.46,-46.6,sao paulo,SP
2301,-23.49,-46.62,sao paulo,SP
2332,-23.49,-46.62,sao paulo,SP
2376,-23.46,-46.63,sao paulo,SP
2326,-23.45,-46.58,sao paulo,SP
2335,-23.48,-46.62,sao paulo,SP
2346,-23.47,-46.61,sao paulo,SP
2362,-23.64,-46.61,sao paulo,SP
2357,-23.45,-46.61,sao paulo,SP
2329,-23.45,-46.58,sao paulo,SP
2314,-23.46,-46.6,sao paulo,SP
2310,-23.47,-46.6,sao paulo,SP
2325,-23.46,-46.58,sao paulo,SP
2354,-23.45,-46.61,sao paulo,SP
2320,-23.45,-46.6,sao paulo,SP
2361,-23.44,-46.58,sao paulo,SP
2338,-23.47,-46.62,sao paulo,SP
2331,-23.49,-46.62,sao paulo,SP
2333,-23.47,-46.62,são paulo,SP
2307,-23.48,-46.61,sao paulo,SP
2349,-23.46,-46.6,sao paulo,SP
2353,-23.45,-46.61,sao paulo,SP
2336,-23.48,-46.62,são paulo,SP
2339,-23.48,-46.61,são paulo,SP
2368,-23.4,-46.58,sao paulo,SP
2370,-23.46,-46.62,sao paulo,SP
2328,-23.43,-46.57,sao paulo,SP
2359,-23.45,-46.62,sao paulo,SP
2345,-23.47,-46.62,sao paulo,SP
2327,-23.44,-46.58,sao paulo,SP
2364,-23.43,-46.58,são paulo,SP
2304,-23.48,-46.6,sao paulo,SP
2430,-23.48,-46.65,sao paulo,SP
2402,-23.49,-46.63,sao paulo,SP
2442,-23.47,-46.64,sao paulo,SP
2409,-23.48,-46.63,sao paulo,SP
2467,-23.49,-46.64,são paulo,SP
2422,-23.47,-46.63,sao paulo,SP
2441,-23.47,-46.64,sao paulo,SP
2452,-23.5,-46.64,são paulo,SP
2435,-23.48,-46.64,sao paulo,SP
2464,-23.49,-46.65,sao paulo,SP
2431,-23.49,-46.64,sao paulo,SP
2478,-23.48,-46.66,sao paulo,SP
2436,-23.48,-46.64,sao paulo,SP
2473,-23.48,-46.65,são paulo,SP
2415,-23.47,-46.63,são paulo,SP
2468,-23.49,-46.65,sao paulo,SP
2401,-23.49,-46.63,sao paulo,SP
2419,-23.48,-46.64,sao paulo,SP
2479,-23.48,-46.65,sao paulo,SP
2471,-23.48,-46.66,sao paulo,SP
2417,-23.48,-46.63,sao paulo,SP
2410,-23.48,-46.63,sao paulo,SP
2420,-23.48,-46.63,sao paulo,SP
2462,-23.5,-46.64,sao paulo,SP
2461,-23.49,-46.64,sao paulo,SP
2443,-23.47,-46.65,são paulo,SP
2403,-23.49,-46.63,sao paulo,SP
2466,-23.49,-46.64,sao paulo,SP
2404,-23.49,-46.63,sao paulo,SP
2433,-23.48,-46.64,são paulo,SP
2406,-23.49,-46.63,sao paulo,SP
2474,-23.48,-46.66,sao paulo,SP
2434,-23.48,-46.64,sao paulo,SP
2407,-23.49,-46.62,sao paulo,SP
2421,-23.47,-46.63,sao paulo,SP
2472,-23.48,-46.66,sao paulo,SP
2470,-23.48,-46.65,sao paulo,SP
2460,-23.49,-46.64,são paulo,SP
2475,-23.48,-46.65,sao paulo,SP
2416,-23.48,-46.63,são paulo,SP
2418,-23.47,-46.63,são paulo,SP
2413,-23.49,-46.64,sao paulo,SP
2451,-23.5,-46.64,sao paulo,SP
2465,-23.49,-46.65,sao paulo,SP
2405,-23.49,-46.63,sao paulo,SP
2469,-23.48,-46.64,sao paulo,SP
2440,-23.48,-46.65,sao paulo,SP
2408,-23.48,-46.63,sao paulo,SP
2450,-23.5,-46.64,sao paulo,SP
2411,-23.47,-46.63,sao paulo,SP
2432,-23.49,-46.64,sao paulo,SP
